id_zakazky,nazev_zakazky,termin_dodani,prubeznа_doba,vyrobit_ks,odvedeno_ks,stav,typ_zakazky,brusky,soustruhy,ohyb,laser,svarovani
22OP000100000208/00001,22OP000100000208/00001,2026-05-08,2,2,0,plánovaná,výroba,1.23,0,0,0,0
22OP000100000191/00001,22OP000100000191/00001,2026-04-30,17,565,0,plánovaná,výroba,0,0,0,0,0
22OP000100000176/00001,22OP000100000176/00001,2026-04-25,17,1,0,plánovaná,výroba,0,0,0,0,0
22OP000100000149/00001,22OP000100000149/00001,2026-04-17,1,1,0,plánovaná,výroba,18.42,30,110,0,70
22OP000100000144/00003,22OP000100000144/00003,2026-04-15,2,1,0,plánovaná,výroba,0,21,25,0,42
22OP000100000104/00001,22OP000100000104/00001,2026-05-14,5,1,0,plánovaná,výroba,21.83,0,0,0,0
22OP000100000095/00001,22OP000100000095/00001,2026-04-20,5,1,0,plánovaná,výroba,0,0,0,0,0
22OP000100000078/00001,22OP000100000078/00001,2026-05-03,2,1,0,plánovaná,výroba,0,0,0,0,0
22OP000100000066/00001,22OP000100000066/00001,2026-06-29,13,1,0,plánovaná,výroba,0,0,0,0,0
22OP000100000043/00001,22OP000100000043/00001,2026-07-25,5,1,0,plánovaná,výroba,0.47,0,0,0,0
22OP000100000029/00001,22OP000100000029/00001,2026-06-14,22,1,0,plánovaná,výroba,1.88,0,0,0,0
22OP000100000020/00001,22OP000100000020/00001,2026-05-25,16,1,0,plánovaná,výroba,0,9,0,0,18
22OP000100000019/00002,22OP000100000019/00002,2026-06-22,10,122,0,plánovaná,výroba,0,0,0,0,0
22OP000100000011/00001,22OP000100000011/00001,2026-05-17,15,1,0,plánovaná,výroba,7.05,0,0,0,0
22OP000100000005/00001,22OP000100000005/00001,2026-06-27,12,1,0,plánovaná,výroba,0,0,75,0,0
22800397600,22800397600,2026-06-01,33,1,0,plánovaná,výroba,0.07,0,0,0,0
22800396500,22800396500,2026-07-23,19,1,0,plánovaná,výroba,0,5.6,0,450,18
22800384900,22800384900,2026-05-09,23,1,0,plánovaná,výroba,0.53,0,0,0,0
22800372000,22800372000,2026-06-08,23,1,0,plánovaná,výroba,0,0,0,0,0
22800340100,22800340100,2026-09-01,2,1,0,plánovaná,výroba,0.43,0,0,0,0
22800247100,22800247100,2026-05-06,18,560,0,plánovaná,výroba,40.25,0,0,0,0
22800233100,22800233100,2026-06-03,14,1,0,plánovaná,výroba,0,0,0,0,0
22600007202,22600007202,2026-07-09,4,1,0,plánovaná,výroba,0.85,0,0,0,0
22500060200,22500060200,2026-09-06,24,1,0,plánovaná,výroba,0,0,0,0,0
22500029400,22500029400,2026-06-13,10,1,0,plánovaná,výroba,0,0,0,0,20
22300855900,22300855900,2026-05-09,28,1,0,plánovaná,výroba,0.57,6.5,0,0,19
22300789000,22300789000,2026-06-16,16,1,0,plánovaná,výroba,5.12,0,0,0,0
22300756800,22300756800,2026-07-15,37,1,0,plánovaná,výroba,0,0,0,0,0
22300722800,22300722800,2026-06-16,36,1,0,plánovaná,výroba,1.3,55,105,0,0
22300641900,22300641900,2026-08-07,40,130,0,plánovaná,výroba,3.6,8,0,0,0
22300515800,22300515800,2026-09-14,37,1,0,plánovaná,výroba,3.15,0,0,0,0
22300347700,22300347700,2026-09-30,57,1,0,plánovaná,výroba,3.97,0,7,0,0
22200052400,22200052400,2026-10-28,31,1,0,plánovaná,výroba,0.97,102,0,450,305
22101732400,22101732400,2026-06-16,9,1,0,plánovaná,výroba,0,0,0,0,0
22101731900,22101731900,2026-07-08,25,220,11,plánovaná,výroba,0.3,0,0,0,0
22101709600,22101709600,2026-05-17,36,1,0,plánovaná,výroba,0,0,0,0,0
22101682300,22101682300,2026-01-17,10,1,0,plánovaná,výroba,0,0,0,0,0
22101681500,22101681500,2026-07-17,9,1,0,plánovaná,výroba,0,22,0,0,0
22101674100,22101674100,2026-04-12,12,1,0,plánovaná,výroba,55,0,0,0,0
22101641300,22101641300,2026-05-27,18,1,0,plánovaná,výroba,0,0,0,0,0
22101638800,22101638800,2026-08-17,10,550,0,plánovaná,výroba,22,33,6,100,50
22101596900,22101596900,2026-09-02,32,1,0,plánovaná,výroba,8,0,0,0,0
22101414300,22101414300,2026-09-01,24,1,0,plánovaná,výroba,0,0,0,55,0
22101387200,22101387200,2026-06-10,37,100,5,plánovaná,výroba,0,0,0,0,0
22101216000,22101216000,2026-07-09,18,1,0,plánovaná,výroba,0,0,8,0,0
22100895800,22100895800,2026-09-30,10,1,0,plánovaná,výroba,0,11,0,0,0
22100521400,22100521400,2026-04-30,19,1,0,plánovaná,výroba,0,0,0,0,0
22100452302,22100452302,2026-04-15,6,1,0,plánovaná,výroba,12,0,9,0,0
22100278802,22100278802,2026-05-16,6,1,0,plánovaná,výroba,0,0,0,0,0
22100278801,22100278801,2026-04-15,7,1,0,plánovaná,výroba,0,0,0,0,23
