ID,Uzel,Název cviku,Start,Konec,Norbekovův vhled (Humor & Motivace)
NB_01,MYSL,Vnitřní úsměv,1:05,1:50,"""Úsměv je příkaz buňkám k regeneraci. Nenasazujte masku mramorové sochy!"""
NB_02,POHYB,Želva (Krční páteř),3:40,4:20,"""Brada do krunýře. Pomalu, nejste na závodech F1!"""
NB_03,POHYB,Záklon hlavy,4:25,4:55,"""Vytahujeme bradu k nebi, jako byste chtěli políbit slunce."""
NB_04,POHYB,Úklony (Ucho-Rameno),5:15,6:00,"""Ucho chce políbit rameno. Ale rameno je stydlivé, nezvedejte ho!"""
NB_05,POHYB,Kroužení hlavou,6:10,7:00,"""Jemně, jako by hlava byla na olejovém polštáři."""
NB_06,KARDIO,Kroužení rameny,8:10,8:50,"""Z lopatek rostou křídla. Otevíráme hrudník pro život!"""
NB_07,KARDIO,Propínání ramen,9:00,9:40,"""Ramena dopředu, jako byste se chtěli obejmout kolem světa."""
NB_08,POHYB,Lokty k sobě,10:15,10:50,"""Spojujeme lokty za zády. Lopatky si mají co šeptat."""
NB_09,POHYB,Úklony trupu (Horní),11:15,12:00,"""Ohýbáme jen horní část, jako mladý stromek ve větru."""
NB_10,POHYB,Rotace hrudníku,12:15,13:00,"""Díváme se za sebe na své úspěchy. Boky drží!"""
NB_11,POHYB,Úklony do stran,13:30,14:15,"""Ruka klouže po stehně. Hlouběji, s radostí!"""
NB_12,STABIL,Rotace pánve,15:00,15:45,"""Kroužíme pánví, jako bychom kreslili slunce na podlahu."""
NB_13,POHYB,Předklon (Bedra),16:15,17:00,"""Ruce ke špičkám. Ne silou, ale dechem a úsměvem."""
NB_14,POHYB,Záklon (Bedra),17:15,17:50,"""Podepřete si kříže a podívejte se do nebe. Svoboda!"""
NB_15,POHYB,Protažení nohou,18:20,19:00,"""Pata tlačí do země. Probouzíme energii v drahách."""
NB_16,POHYB,Kotníky - kroužení,19:30,20:10,"""Kotník je kloub svobody. Dejte mu prostor."""
NB_17,POHYB,Kolena - kroužení,20:30,21:15,"""Dlaně na kolena, jemná masáž a kroužky."""
NB_18,STABIL,Kyčle - rotace,21:30,22:15,"""Otevíráme brány kyčlí. Jako baletka, ale s humorem."""
NB_19,MYSL,Závěrečné zklidnění,23:00,23:45,"""Cítíte to teplo? To je vaše nová krev a síla."""
NB_20,KARDIO,Hrudní pumpa,24:00:00,24:30:00,"""Nadechněte se až do břicha. Jste naživu!"""
NB_21,POHYB,Zápěstí a prsty,2:15,3:00,"""Prsty jako vějíř. Každý kloub je důležitý."""
NB_22,MYSL,Postoj vítěze,0:30,1:00,"""Narovnejte se! Postoj vítěze mění chemii krve."""
